"订单日期","地区","产品","产品类别","客户类型","销售额","成本","折扣","数量"
"2024-01-17","华北","云感记忆枕","家居生活","企业客户","1589.35","752.85","0.05","7"
"2024-01-19","华东","每日坚果礼盒","食品饮料","新客户","954","591.48","0","6"
"2024-01-05","西南","山野挂耳咖啡","食品饮料","企业客户","284.8","138.84","0.2","4"
"2024-01-28","华南","复古帆布鞋","服饰箱包","新客户","1371.9","790.86","0.15","6"
"2024-01-10","华中","暖阳香薰机","家居生活","企业客户","1253.7","654.71","0.1","7"
"2024-01-25","华南","星云降噪耳机","数码家电","新客户","3564.9","2348.64","0.15","6"
"2024-01-12","华东","复古帆布鞋","服饰箱包","新客户","1345","659.05","0","5"
"2024-01-13","西南","暖阳香薰机","家居生活","新客户","676.6","374.12","0.15","4"
"2024-01-23","华北","山野挂耳咖啡","食品饮料","企业客户","534","208.26","0","6"
"2024-01-10","华南","城市通勤双肩包","服饰箱包","企业客户","2297.6","1378.56","0.2","8"
"2024-01-08","华中","山野挂耳咖啡","食品饮料","老客户","302.6","138.84","0.15","4"
"2024-01-09","华北","低糖燕麦脆","食品饮料","老客户","234.6","121.44","0.15","4"
"2024-01-11","西南","每日坚果礼盒","食品饮料","新客户","318","197.16","0","2"
"2024-01-12","华东","低糖燕麦脆","食品饮料","企业客户","524.4","242.88","0.05","8"
"2024-01-23","华中","暖阳香薰机","家居生活","老客户","597","280.59","0","3"
"2024-01-27","华北","轻羽智能手表","数码家电","新客户","3820.75","2741.95","0.15","5"
"2024-01-25","西南","每日坚果礼盒","食品饮料","老客户","143.1","98.58","0.1","1"
"2024-01-17","西南","城市通勤双肩包","服饰箱包","新客户","1364.2","689.28","0.05","4"
"2024-01-07","华东","每日坚果礼盒","食品饮料","新客户","318","197.16","0","2"
"2024-01-10","华南","星云降噪耳机","数码家电","老客户","2376.6","1565.76","0.15","4"
"2024-01-09","华北","山野挂耳咖啡","食品饮料","企业客户","534","208.26","0","6"
"2024-01-09","西南","每日坚果礼盒","食品饮料","老客户","159","98.58","0","1"
"2024-01-07","西南","暖阳香薰机","家居生活","企业客户","1323.35","654.71","0.05","7"
"2024-01-27","华中","每日坚果礼盒","食品饮料","企业客户","1001.7","690.06","0.1","7"
"2024-01-17","华南","极光机械键盘","数码家电","新客户","2445.3","1492.92","0.05","6"
"2024-01-10","华北","低糖燕麦脆","食品饮料","新客户","220.8","121.44","0.2","4"
"2024-01-13","华东","复古帆布鞋","服饰箱包","新客户","1614","790.86","0","6"
"2024-01-28","华北","云感记忆枕","家居生活","老客户","1135.25","537.75","0.05","5"
"2024-01-06","华中","轻氧防晒外套","服饰箱包","新客户","807.3","385.71","0.1","3"
"2024-01-24","华东","复古帆布鞋","服饰箱包","新客户","1022.2","527.24","0.05","4"
"2024-01-02","华中","城市通勤双肩包","服饰箱包","企业客户","2872","1378.56","0","8"
"2024-01-22","华南","每日坚果礼盒","食品饮料","企业客户","1287.9","887.22","0.1","9"
"2024-01-27","华东","云感记忆枕","家居生活","老客户","681.15","322.65","0.05","3"
"2024-01-19","华南","暖阳香薰机","家居生活","新客户","567.15","280.59","0.05","3"
"2024-01-06","华北","低糖燕麦脆","食品饮料","新客户","110.4","60.72","0.2","2"
"2024-01-20","西南","星云降噪耳机","数码家电","企业客户","3564.9","2348.64","0.15","6"
"2024-02-27","华南","轻羽智能手表","数码家电","新客户","3416.2","2193.56","0.05","4"
"2024-02-18","西南","极光机械键盘","数码家电","企业客户","3003","1741.74","0","7"
"2024-02-23","华北","山野挂耳咖啡","食品饮料","老客户","226.95","104.13","0.15","3"
"2024-02-27","华东","低糖燕麦脆","食品饮料","老客户","414","182.16","0","6"
"2024-02-14","华中","极光机械键盘","数码家电","企业客户","2574","1492.92","0","6"
"2024-02-26","华东","云感记忆枕","家居生活","企业客户","1912","860.4","0","8"
"2024-02-05","华北","低糖燕麦脆","食品饮料","企业客户","310.5","151.8","0.1","5"
"2024-02-18","华东","暖阳香薰机","家居生活","企业客户","1611.9","841.77","0.1","9"
"2024-02-28","华南","轻氧防晒外套","服饰箱包","老客户","1016.6","514.28","0.15","4"
"2024-02-17","华北","极光机械键盘","数码家电","企业客户","3003","1741.74","0","7"
"2024-02-23","华中","星云降噪耳机","数码家电","企业客户","2376.6","1565.76","0.15","4"
"2024-02-11","华北","云感记忆枕","家居生活","企业客户","1434","645.3","0","6"
"2024-02-05","西南","原木收纳架","家居生活","企业客户","1052.8","684.32","0.2","4"
"2024-02-28","华南","星云降噪耳机","数码家电","企业客户","5592","3131.52","0","8"
"2024-02-07","华北","星云降噪耳机","数码家电","新客户","2097","1174.32","0","3"
"2024-02-25","华北","轻氧防晒外套","服饰箱包","企业客户","1196","514.28","0","4"
"2024-02-28","华东","云感记忆枕","家居生活","企业客户","1338.4","752.85","0.2","7"
"2024-02-09","西南","云感记忆枕","家居生活","新客户","573.6","322.65","0.2","3"
"2024-02-27","西南","暖阳香薰机","家居生活","新客户","507.45","280.59","0.15","3"
"2024-02-12","华东","云感记忆枕","家居生活","企业客户","1828.35","967.95","0.15","9"
"2024-02-02","西南","星云降噪耳机","数码家电","新客户","1398","782.88","0","2"
"2024-02-11","西南","星云降噪耳机","数码家电","老客户","699","391.44","0","1"
"2024-02-06","西南","每日坚果礼盒","食品饮料","老客户","453.15","295.74","0.05","3"
"2024-02-17","华东","原木收纳架","家居生活","老客户","263.2","171.08","0.2","1"
"2024-02-16","华南","山野挂耳咖啡","食品饮料","老客户","356","173.55","0.2","5"
"2024-02-04","西南","轻氧防晒外套","服饰箱包","企业客户","956.8","514.28","0.2","4"
"2024-02-08","华东","轻氧防晒外套","服饰箱包","老客户","1196","642.85","0.2","5"
"2024-02-03","华东","复古帆布鞋","服饰箱包","老客户","1345","659.05","0","5"
"2024-02-26","华中","轻氧防晒外套","服饰箱包","老客户","299","128.57","0","1"
"2024-02-17","华中","轻氧防晒外套","服饰箱包","老客户","478.4","257.14","0.2","2"
"2024-02-10","西南","极光机械键盘","数码家电","老客户","407.55","248.82","0.05","1"
"2024-02-09","华南","原木收纳架","家居生活","新客户","1052.8","684.32","0.2","4"
"2024-02-25","华中","山野挂耳咖啡","食品饮料","企业客户","623","242.97","0","7"
"2024-02-12","西南","暖阳香薰机","家居生活","老客户","796","374.12","0","4"
"2024-02-22","华东","轻氧防晒外套","服饰箱包","老客户","568.1","257.14","0.05","2"
"2024-02-12","华南","原木收纳架","家居生活","企业客户","2812.95","1539.72","0.05","9"
"2024-03-02","华东","山野挂耳咖啡","食品饮料","老客户","453.9","208.26","0.15","6"
"2024-03-02","西南","复古帆布鞋","服饰箱包","老客户","1022.2","527.24","0.05","4"
"2024-03-07","华北","山野挂耳咖啡","食品饮料","新客户","302.6","138.84","0.15","4"
"2024-03-01","华北","山野挂耳咖啡","食品饮料","新客户","75.65","34.71","0.15","1"
"2024-03-13","华中","星云降噪耳机","数码家电","企业客户","4159.05","2740.08","0.15","7"
"2024-03-16","华中","极光机械键盘","数码家电","新客户","1544.4","995.28","0.1","4"
"2024-03-28","华中","每日坚果礼盒","食品饮料","企业客户","1113","690.06","0","7"
"2024-03-12","华南","城市通勤双肩包","服饰箱包","老客户","1436","689.28","0","4"
"2024-03-24","华北","复古帆布鞋","服饰箱包","老客户","807","395.43","0","3"
"2024-03-17","华北","云感记忆枕","家居生活","企业客户","1816.4","860.4","0.05","8"
"2024-03-10","华中","城市通勤双肩包","服饰箱包","企业客户","2441.2","1378.56","0.15","8"
"2024-03-10","华北","城市通勤双肩包","服饰箱包","企业客户","1938.6","1033.92","0.1","6"
"2024-03-19","华东","云感记忆枕","家居生活","老客户","956","430.2","0","4"
"2024-03-13","华南","轻氧防晒外套","服饰箱包","企业客户","1435.2","771.42","0.2","6"
