题号,类型,问题,结果,判断说明,标准答案,实际结果,步骤数,图表路径
Q01,总数计算,2025年总营收是多少？,通过,数字在允许误差内,713794.8500,713794.8500,5,
Q02,找最高或最低,哪个产品营收最低？,通过,分组、排名和数字均正确,"{""低糖燕麦脆"": 28555.65}","{""低糖燕麦脆"": 28555.65}",5,
Q03,按地区比较,不同地区的营收分别是多少？,通过,分组、排名和数字均正确,"{""华东"": 290869.3, ""华中"": 289848.75, ""华北"": 302310.45, ""华南"": 275465.85, ""西南"": 261019.2}","{""华北"": 302310.45, ""华东"": 290869.3, ""华中"": 289848.75, ""华南"": 275465.85, ""西南"": 261019.2}",5,
Q04,按产品比较,营收最高的前三个产品是什么？,通过,分组、排名和数字均正确,"{""轻羽智能手表"": 291096.2, ""星云降噪耳机"": 239896.8, ""极光机械键盘"": 158301.0}","{""轻羽智能手表"": 291096.2, ""星云降噪耳机"": 239896.8, ""极光机械键盘"": 158301.0}",5,
Q05,按月份分析,2025年每个月的营收分别是多少？,通过,分组、排名和数字均正确,"{""2025-01"": 52729.8, ""2025-02"": 29719.15, ""2025-03"": 58230.95, ""2025-04"": 60948.25, ""2025-05"": 49140.25, ""2025-06"": 63672.2, ""2025-07"": 59568.9, ""2025-08"": 60699.15, ""2025-09"": 54967.4, ""2025-10"": 61437.1, ""2025-11"": 84769.5, ""2025-12"": 77912.2}","{""2025-11"": 84769.5, ""2025-12"": 77912.2, ""2025-06"": 63672.2, ""2025-10"": 61437.1, ""2025-04"": 60948.25, ""2025-08"": 60699.15, ""2025-07"": 59568.9, ""2025-03"": 58230.95, ""2025-09"": 54967.4, ""2025-01"": 52729.8, ""2025-05"": 49140.25, ""2025-02"": 29719.15}",5,
Q06,按客户类型分析,哪个客户类型营收最高？,通过,分组、排名和数字均正确,"{""企业客户"": 765335.45}","{""企业客户"": 765335.45}",5,
Q07,折扣分析,哪个地区的平均折扣最高？,通过,分组、排名和数字均正确,"{""华南"": 0.092}","{""华南"": 0.092}",5,
Q08,利润分析,2025年哪个产品类别利润最高？,通过,分组、排名和数字均正确,"{""数码家电"": 129008.33}","{""数码家电"": 129008.33}",5,
Q09,筛选条件,2024年华东地区总营收是多少？,通过,数字在允许误差内,136386.3000,136386.3000,5,
Q10,筛选条件,2025年老客户总营收是多少？,通过,数字在允许误差内,180946.3500,180946.3500,5,
Q11,需要画图,营收最高的前三个产品是什么？顺便画张柱状图。,通过,排名、数字和图片均正确,"{""轻羽智能手表"": 291096.2, ""星云降噪耳机"": 239896.8, ""极光机械键盘"": 158301.0}","{""轻羽智能手表"": 291096.2, ""星云降噪耳机"": 239896.8, ""极光机械键盘"": 158301.0}",6,C:\Users\a\Documents\数据分析Agent\charts\分析图表_20260627_170534_543905.png
Q12,需要画图,帮我画一下2025年每个月营收趋势。,通过,排名、数字和图片均正确,"{""2025-01"": 52729.8, ""2025-02"": 29719.15, ""2025-03"": 58230.95, ""2025-04"": 60948.25, ""2025-05"": 49140.25, ""2025-06"": 63672.2, ""2025-07"": 59568.9, ""2025-08"": 60699.15, ""2025-09"": 54967.4, ""2025-10"": 61437.1, ""2025-11"": 84769.5, ""2025-12"": 77912.2}","{""2025-01"": 52729.8, ""2025-02"": 29719.15, ""2025-03"": 58230.95, ""2025-04"": 60948.25, ""2025-05"": 49140.25, ""2025-06"": 63672.2, ""2025-07"": 59568.9, ""2025-08"": 60699.15, ""2025-09"": 54967.4, ""2025-10"": 61437.1, ""2025-11"": 84769.5, ""2025-12"": 77912.2}",6,C:\Users\a\Documents\数据分析Agent\charts\分析图表_20260627_170534_982467.png
